date,MSFT,AMZN
2025-01-08 04:00:00,423.94,223.02
2025-01-08 04:05:00,424.3,223.11
2025-01-08 04:10:00,424.32,223.09
2025-01-08 04:15:00,424.69,223.04
2025-01-08 04:20:00,424.88,223.0
2025-01-08 04:25:00,424.51,222.94
2025-01-08 04:30:00,424.6,223.08
2025-01-08 04:35:00,424.44,223.11
2025-01-08 04:40:00,424.5,223.01
2025-01-08 04:45:00,424.39,223.02
2025-01-08 04:50:00,424.45,223.13
2025-01-08 04:55:00,424.45,223.22
2025-01-08 05:00:00,424.62,223.31
2025-01-08 05:05:00,424.55,223.33
2025-01-08 05:10:00,424.52,223.4
2025-01-08 05:15:00,424.73,223.42
2025-01-08 05:20:00,424.66,223.44
2025-01-08 05:25:00,424.7,223.3
2025-01-08 05:30:00,424.53,223.19
2025-01-08 05:35:00,424.56,223.11
2025-01-08 05:40:00,424.65,223.01
2025-01-08 05:45:00,424.69,223.04
2025-01-08 05:50:00,424.7,223.15
2025-01-08 05:55:00,424.8,223.19
2025-01-08 06:00:00,424.87,223.19
2025-01-08 06:05:00,424.8,223.27
2025-01-08 06:10:00,424.88,223.28
2025-01-08 06:15:00,424.81,223.25
2025-01-08 06:20:00,424.9,223.19
2025-01-08 06:25:00,424.3,222.78
2025-01-08 06:30:00,422.75,221.97
2025-01-08 06:35:00,422.71,221.91
2025-01-08 06:40:00,422.77,221.82
2025-01-08 06:45:00,423.08,222.18
2025-01-08 06:50:00,423.5,222.29
2025-01-08 06:55:00,423.86,222.45
2025-01-08 07:00:00,422.92,222.06
2025-01-08 07:05:00,423.27,222.05
2025-01-08 07:10:00,422.88,221.76
2025-01-08 07:15:00,422.31,221.61
2025-01-08 07:20:00,422.17,221.2
2025-01-08 07:25:00,422.01,220.97
2025-01-08 07:30:00,421.45,220.34
2025-01-08 07:35:00,422.72,221.44
2025-01-08 07:40:00,422.54,221.31
2025-01-08 07:45:00,422.1,221.02
2025-01-08 07:50:00,422.29,221.04
2025-01-08 07:55:00,422.4,220.74
2025-01-08 08:00:00,423.23,221.89
2025-01-08 08:05:00,422.8,221.64
2025-01-08 08:10:00,423.01,221.87
2025-01-08 08:15:00,423.23,221.67
2025-01-08 08:20:00,424.2,222.08
2025-01-08 08:25:00,423.82,221.81
2025-01-08 08:30:00,423.38,221.765
2025-01-08 08:35:00,423.37,221.67
2025-01-08 08:40:00,423.33,221.5835
2025-01-08 08:45:00,423.5,221.91
2025-01-08 08:50:00,423.69,222.19
2025-01-08 08:55:00,423.78,222.51
2025-01-08 09:00:00,423.6,222.32
2025-01-08 09:05:00,423.455,222.03
2025-01-08 09:10:00,423.87,222.32
2025-01-08 09:15:00,423.73,222.094
2025-01-08 09:20:00,423.65,222.1
2025-01-08 09:25:00,423.97,223.15
2025-01-08 09:30:00,423.95,222.725
2025-01-08 09:35:00,423.58,222.38
2025-01-08 09:40:00,424.76,222.965
2025-01-08 09:45:00,425.18,222.7818
2025-01-08 09:50:00,424.38,222.265
2025-01-08 09:55:00,425.72,222.59
2025-01-08 10:00:00,425.84,222.36
2025-01-08 10:05:00,426.669,222.09
2025-01-08 10:10:00,425.42,220.815
2025-01-08 10:15:00,425.76,221.1
2025-01-08 10:20:00,426.17,221.015
2025-01-08 10:25:00,425.98,220.68
2025-01-08 10:30:00,425.385,221.415
2025-01-08 10:35:00,425.65,221.515
